celltype,gtcount_joint,tpcount_joint,fpcount_joint,fncount_joint,skel_id,precision,recall,fscore,score_thr
peg,5503,2969,1623,2534,9358425,0.6465592334494773,0.5395238960566964,0.5882119861317483,5
pen1,13885,8467,4298,5418,9214821,0.663298080689385,0.6097947425279078,0.635422138836773,5
pen2,11059,6999,3949,4060,14297605,0.6392948483741323,0.6328781987521476,0.6360703412550552,5
epg,52765,33389,14481,19376,23163236,0.6974932107791937,0.6327868852459017,0.6635663536542953,6
peg,5503,2958,1601,2545,9358425,0.6488264970388243,0.5375249863710704,0.5879546809779368,6
pen1,13885,8452,4249,5433,9214821,0.6654594126446737,0.6087144400432121,0.6358233656811855,6
pen2,11059,6984,3895,4075,14297605,0.6419707693721849,0.631521837417488,0.6367034369587018,6
epg,52765,33298,14321,19467,23163236,0.6992586992586992,0.6310622571780536,0.6634124960153013,7
peg,5503,2951,1585,2552,9358425,0.6505731922398589,0.5362529529347628,0.5879071620679351,7
pen1,13885,8437,4202,5448,9214821,0.6675369886858138,0.6076341375585164,0.6361785552706982,7
pen2,11059,6971,3845,4088,14297605,0.6445081360946746,0.6303463242607831,0.6373485714285714,7
epg,52765,33226,14155,19539,23163236,0.7012515565310989,0.6296977162892069,0.6635512152257704,8
peg,5503,2936,1566,2567,9358425,0.6521545979564638,0.5335271669998183,0.5869065467266367,8
pen1,13885,8419,4144,5466,9214821,0.670142481891268,0.6063377745768815,0.6366454930429521,8
pen2,11059,6955,3803,4104,14297605,0.6464956311582079,0.6288995388371462,0.6375762020442775,8
epg,52765,33131,13997,19634,23163236,0.7030003395009337,0.6278972803942007,0.6633297628462455,9
peg,5503,2925,1551,2578,9358425,0.653485254691689,0.5315282573141923,0.5862310852790861,9
pen1,13885,8406,4103,5479,9214821,0.6719961627628108,0.6054015124234786,0.6369629461241192,9
pen2,11059,6944,3757,4115,14297605,0.6489113166993739,0.6279048738583959,0.638235294117647,9
epg,52765,33048,13857,19717,23163236,0.7045730732331308,0.626324267980669,0.6631483896859638,10
peg,5503,2918,1531,2585,9358425,0.6558777253315352,0.5302562238778847,0.5864147909967846,10
pen1,13885,8385,4054,5500,9214821,0.6740895570383472,0.6038890889449046,0.637061236894089,10
pen2,11059,6925,3720,4134,14297605,0.6505401596993894,0.6261868161678271,0.6381312200516035,10
epg,52765,31548,11314,21217,23163236,0.7360365825206476,0.5978963327963612,0.6598136509563199,30
peg,5503,2722,1226,2781,9358425,0.6894630192502533,0.4946392876612757,0.5760237011956406,30
pen1,13885,8018,3294,5867,9214821,0.7088048090523338,0.5774576881526827,0.6364249712267334,30
pen2,11059,6630,3062,4429,14297605,0.6840693355344614,0.5995117099195225,0.6390053491398003,30
epg,52765,29318,8657,23447,23163236,0.772034233048058,0.5556334691556903,0.6461979281463522,60
peg,5503,2487,947,3016,9358425,0.7242283051834595,0.45193530801381065,0.5565626049009734,60
pen1,13885,7495,2568,6390,9214821,0.7448077114180662,0.5397911415196255,0.625939535660598,60
pen2,11059,6223,2405,4836,14297605,0.721256374594344,0.56270910570576,0.6321938334941841,60
epg,52765,27103,6795,25662,23163236,0.7995456959112632,0.5136548848668625,0.6254803087822947,90
peg,5503,2233,751,3270,9358425,0.7483243967828418,0.4057786661820825,0.5262165665134912,90
pen1,13885,6971,2019,6914,9214821,0.7754171301446051,0.5020525747209219,0.6094863387978142,90
pen2,11059,5814,1949,5245,14297605,0.748937266520675,0.5257256533140429,0.6177876952502391,90
epg,52765,26752,6544,26013,23163236,0.8034598750600673,0.5070027480337345,0.6216985626474245,95
peg,5503,2185,724,3318,9358425,0.7511172224132004,0.39705615119025983,0.5194959581550166,95
pen1,13885,6885,1936,7000,9214821,0.7805237501417073,0.4958588404753331,0.6064476349863472,95
pen2,11059,5755,1874,5304,14297605,0.7543583693799973,0.520390632064382,0.6159032534246576,95
epg,52765,26368,6311,26397,23163236,0.8068790354662015,0.4997251966265517,0.617199569308553,100
peg,5503,2142,692,3361,9358425,0.7558221594918842,0.3892422315100854,0.5138539042821159,100
pen1,13885,6792,1867,7093,9214821,0.784386187781499,0.48916096507021967,0.6025550035486161,100
pen2,11059,5677,1804,5382,14297605,0.7588557679454618,0.5133375531241523,0.6124056094929882,100
epg,52765,26025,6072,26740,23163236,0.8108234414431256,0.49322467544773996,0.613348730880724,105
peg,5503,2113,671,3390,9358425,0.7589798850574713,0.3839723787025259,0.509955351755762,105
pen1,13885,6713,1805,7172,9214821,0.7880957971354778,0.4834713719841556,0.5992947373119671,105
pen2,11059,5610,1747,5449,14297605,0.7625390784287074,0.507279139162673,0.6092528236316247,105
epg,52765,25651,5841,27114,23163236,0.8145243236377493,0.48613664360845255,0.6088752269841081,110
peg,5503,2081,648,3422,9358425,0.762550384756321,0.37815736870797745,0.5055879494655005,110
pen1,13885,6628,1738,7257,9214821,0.792254362897442,0.4773496579042132,0.5957485056851377,110
pen2,11059,5535,1693,5524,14297605,0.7657719977863863,0.5004973324893752,0.6053480614644283,110
epg,52765,24964,5425,27801,23163236,0.8214814571061897,0.4731166492940396,0.6004281213170743,120
peg,5503,2010,600,3493,9358425,0.7701149425287356,0.36525531528257316,0.4955010477012203,120
pen1,13885,6454,1627,7431,9214821,0.7986635317411211,0.4648181490817429,0.5876354365838113,120
pen2,11059,5395,1562,5664,14297605,0.7754779358919074,0.4878379600325527,0.598912078152753,120
epg,52765,22889,4383,29876,23163236,0.8392857142857143,0.4337913389557472,0.571960468283419,150
peg,5503,1766,455,3737,9358425,0.7951373255290409,0.32091586407414135,0.4572760227861212,150
pen1,13885,5978,1317,7907,9214821,0.8194653872515422,0.43053655023406556,0.564494806421152,150
pen2,11059,4990,1279,6069,14297605,0.7959802201308024,0.4512162039967447,0.5759464450600185,150
epg,52765,19597,3133,33168,23163236,0.8621645402551694,0.3714014972045864,0.5191602092853831,200
peg,5503,1420,307,4083,9358425,0.8222350897510133,0.2580410685080865,0.39280774550484093,200
pen1,13885,5108,986,8777,9214821,0.8382015096816541,0.3678790061217141,0.5113369037489364,200
pen2,11059,4302,921,6757,14297605,0.8236645605973578,0.3890044307803599,0.5284363100356221,200
epg,52765,13562,1626,39203,23163236,0.8929417961548591,0.2570264379797214,0.3991582417258988,300
peg,5503,871,153,4632,9358425,0.8505859375,0.15827730328911502,0.2668913742914049,300
pen1,13885,3627,540,10258,9214821,0.8704103671706264,0.2612171407994238,0.401839131398183,300
pen2,11059,2964,470,8095,14297605,0.8631333721607455,0.2680169997287277,0.4090250465742082,300
epg,52765,8712,890,44053,23163236,0.9073109768798167,0.1651094475504596,0.2793785174852086,400
peg,5503,503,81,5000,9358425,0.8613013698630136,0.09140468835180811,0.16527024806965665,400
pen1,13885,2435,308,11450,9214821,0.8877141815530442,0.1753691033489377,0.29287948039451533,400
pen2,11059,1990,250,9069,14297605,0.8883928571428571,0.17994393706483408,0.299270621851267,400
epg,52765,5363,519,47402,23163236,0.9117647058823529,0.10163934426229508,0.18289085545722714,500
peg,5503,303,37,5200,9358425,0.8911764705882353,0.05506087588588043,0.10371384562724628,500
pen1,13885,1588,177,12297,9214821,0.8997167138810198,0.11436802304645301,0.20293929712460065,500
pen2,11059,1311,135,9748,14297605,0.9066390041493776,0.11854598064924496,0.20967612954818074,500
epg,52765,3355,318,49410,23163236,0.9134222706234686,0.06358381502890173,0.11889152698536447,600
peg,5503,176,20,5327,9358425,0.8979591836734694,0.031982554970016355,0.06176522196876645,600
pen1,13885,1024,103,12861,9214821,0.9086069210292813,0.07374864962189413,0.1364241939781508,600
pen2,11059,880,87,10179,14297605,0.9100310237849017,0.07957319830002713,0.1463495759188425,600
epg,52765,2104,203,50661,23163236,0.9120069354139575,0.039874917085189046,0.07640906449738524,700
peg,5503,109,9,5394,9358425,0.923728813559322,0.019807377793930582,0.03878313467354563,700
pen1,13885,658,67,13227,9214821,0.9075862068965517,0.04738926899531869,0.09007529089664612,700
pen2,11059,605,50,10454,14297605,0.9236641221374046,0.05470657383126865,0.10329520232200785,700
