15306, "KCy 15307 IJA"
15370, "KCy 15371 IJA"
15374, "KCy 15375 AJ"
15378, "KCy 15379 BAK"
15422, "KCy 15423 NS"
15502, "KCy 15503 IJA"
15530, "KCy 15531 AJ"
15534, "KCy 15535 SA EAM"
15614, "KCy 15615 LK"
15646, "KCy 15647 CF"
15662, "KCa'B'm 15663 CF"
15730, "KCa'B'm 15731 NS"
15798, "KCaBs 15799 MR"
15958, "KCaBc 15959 SI"
15966, "KCaBc 15967 BH"
15990, "KCaBc 15991 BH"
16274, "LAC KCa'B'ap 16275 IJA IS"
16286, "KCa'B'ap 16287 IJA"
16342, "KCy 16343 AA"
16406, "KCa'B'ap 16407 BH"
16410, "KCa'B'ap 16411 IJA"
16418, "KCa'B'ap 16419 AJ"
16522, "KCa'B'ap 16523 NS"
16570, "KCy 16571 SAC"
16574, "KCy 16575 BH"
16646, "KCy 16647 IJA"
16706, "KCy 16707 CLM AEB"
16750, "KCy 16751 SM"
16754, "KCy 16755 SAC"
16778, "KCy 16779 CF"
16790, "KCy 16791 NS"
16806, "KCy 16807 IJA"
16878, "KCy 16879 AA"
16914, "KCy 16915 AJ"
16990, "KCy 16991 SAC"
17110, "KCy 17111 SAC"
17130, "KCy 17131 HG"
17194, "KCy 17195 EAM"
17238, "KCy 17239 LF IJA"
17278, "KCy 17279 NS"
25841, "KCaBs 13599 CF"
29893, "KCaBc 29894 AEB EAM"
30008, "KCaBc 30009 EAM SAC"
30067, "KCaBc 30068 MR"
30201, "KCaBc 30202 SM"
30300, "KCy 30301 NAS AEB"
30358, "KCy 30359 ARH"
30598, "KCy 30599 ARH CF"
31267, "KCaBs 31268 IJA"
31772, "KCa'B'ap 31773 AEB-SAC-CF"
31785, "KCa'B'm 31786 IJA"
35679, "KCa'B'ap 8315 AJ"
36909, "KCy 36910 ARH SAC"
40538, "KCaBc 10827 AJ"
52434, "KCa'B'm 52435 JH-NS"
52569, "KCaBs 52570 NSR EAM"
52621, "KCaBs 52622 SMM EAM"
52651, "KCaBs 52652 AES"
52681, "KCaBs 52682 ARH"
58478, "KCaBs 58479 AEB"
58484, "KCaBs 58485 EAM"
58561, "KCaBs 58562 ARH"
58601, "KCaBs 58602 EAM"
59438, "KCy 59439 ZSG"
59446, "KCy 59447 EAM"
59512, "KCy 59513 CLM"
61612, "KCaBs 61613 SJW"
70417, "KCy 70418 ARH-SAC"
70516, "KCy 70517 EW"
162532, "KCa'B'ap 162533 CLM"
162545, "KCy 162546 ECS EAM"
169900, "KCaBs 11151 LK"
175008, "KCy 175009 AJ AEB"
175032, "KCa'B'ap 175033 AJ"
176001, "KCy 16351 EAM"
177602, "KCaBs 189029 ZSG AEB"
186561, "KCaBs 186562 ARH"
188893, "KCaBs 188894 ARH-NS"
188907, "KCaBs 188908 ARH"
189008, "KCaBs 189009 ARH"
198563, "KCaBc 198564 EAM"
200094, "KCaBs 7675 EW AJ"
