,score_thr,synapse_collection,annotator,fscore,precision,recall,fpcount,fncount,tpcount,gtcount,predcount
40,0.0,synful,,0.6602870813397129,0.5948275862068966,0.7419354838709677,141,72,207,279,348
41,10.0,synful,,0.6655896607431341,0.6058823529411764,0.7383512544802867,134,73,206,279,340
42,20.0,synful,,0.6765676567656767,0.6269113149847095,0.7347670250896058,122,74,205,279,327
43,30.0,synful,,0.6848381601362862,0.6525974025974026,0.7204301075268817,107,78,201,279,308
44,40.0,synful,,0.6943005181347149,0.67,0.7204301075268817,99,78,201,279,300
45,50.0,synful,,0.691358024691358,0.6805555555555556,0.7025089605734767,92,83,196,279,288
46,60.0,synful,,0.6895306859205776,0.6945454545454546,0.6845878136200717,84,88,191,279,275
47,70.0,synful,,0.698529411764706,0.7169811320754716,0.6810035842293907,75,89,190,279,265
48,80.0,synful,,0.701688555347092,0.7362204724409449,0.6702508960573477,67,92,187,279,254
49,90.0,synful,,0.7020872865275143,0.7459677419354839,0.6630824372759857,63,94,185,279,248
50,100.0,synful,,0.7061068702290076,0.7551020408163265,0.6630824372759857,60,94,185,279,245
51,200.0,synful,,0.6637931034482759,0.8324324324324325,0.5519713261648745,31,125,154,279,185
52,300.0,synful,,0.5463414634146342,0.8549618320610687,0.4014336917562724,19,167,112,279,131
53,400.0,synful,,0.39889196675900274,0.8780487804878049,0.25806451612903225,10,207,72,279,82
54,500.0,synful,,0.31137724550898205,0.9454545454545454,0.1863799283154122,3,227,52,279,55
55,600.0,synful,,0.23750000000000002,0.926829268292683,0.13620071684587814,3,241,38,279,41
56,700.0,synful,,0.1639344262295082,0.9615384615384616,0.08960573476702509,1,254,25,279,26
57,800.0,synful,,0.09556313993174062,1.0,0.05017921146953405,0,265,14,279,14
58,900.0,synful,,0.06920415224913495,1.0,0.035842293906810034,0,269,10,279,10
59,1000.0,synful,,0.0625,1.0,0.03225806451612903,0,270,9,279,9
60,1100.0,synful,,0.04210526315789474,1.0,0.021505376344086023,0,273,6,279,6
61,1200.0,synful,,0.02826855123674912,1.0,0.014336917562724014,0,275,4,279,4
62,1300.0,synful,,0.02826855123674912,1.0,0.014336917562724014,0,275,4,279,4
63,1400.0,synful,,0.0071428571428571435,1.0,0.0035842293906810036,0,278,1,279,1
64,1500.0,synful,,0.0071428571428571435,1.0,0.0035842293906810036,0,278,1,279,1
65,1600.0,synful,,0.0071428571428571435,1.0,0.0035842293906810036,0,278,1,279,1
66,1700.0,synful,,0.0071428571428571435,1.0,0.0035842293906810036,0,278,1,279,1
67,1800.0,synful,,0.0071428571428571435,1.0,0.0035842293906810036,0,278,1,279,1
68,1900.0,synful,,0.0071428571428571435,1.0,0.0035842293906810036,0,278,1,279,1
69,2000.0,synful,,0.0071428571428571435,1.0,0.0035842293906810036,0,278,1,279,1
70,2100.0,synful,,0.0071428571428571435,1.0,0.0035842293906810036,0,278,1,279,1
71,2200.0,synful,,0.0071428571428571435,1.0,0.0035842293906810036,0,278,1,279,1
